CAMPAIGN_ID	PORTFOLIO_ID	TYPE	TARGETING_TYPE	BIDDING_STRATEGY	STATE	NAME	BRAND
146737275913832	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-Cold_Tumbler_with_Handle_40z-MULTI-NB-SP-Auto	Reduce
155878842122132	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Hot1_Tumbler-MULTI-NB-SP-MIXED	Reduce
69677657995088	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Coldee_Tumbler-MULTI-NB-SP-MIXED (High Volume)	Reduce
29346579803156	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-Wine_Tumbler-MULTI-NB-SP-Auto	Reduce
159749434274786	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-Axis_Sports_Bottle-MULTI-NB-SP-Auto	Reduce
280981881431119	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Axis_Sports_Bottle-MULTI-Branded-SP-MIXED	Reduce
121429642821851	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Tumbler-MULTI-NB-SP-Manual2	Reduce
114828330234842	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Wine_Cooler_and_Tumbler_Set-MULTI-Branded-SP-MIXED	Reduce
204559515582530	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-Dual_Wall_Vacuum_Insulated_Canteens_and_Growler-MULTI-NB-SP-Auto	Reduce
186548799936267	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-NB-SP-Auto3	Reduce
168097764965351	177588918708852	sp	AUTO	MANUAL	PAUSED	Reduce-Single_Bottle_Wine_Chiller-MULTI-NB-SP-Auto	Reduce
123010562848416	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Cold_Can_Holder_4in1-MULTI-Branded-SP-MIXED	Reduce
34640324670658	177588918708852	sp	MANUAL	MANUAL	PAUSED	Reduce-Cold_Can_Holder_4in1-MULTI-NB-SP-MIXED (High Volume)	Reduce
